"SampleID","EndpointCategory","EndpointName","EndpointValue","EndpointValue Unit Ontology","EndpointValue Unit Ontology Entry","WellQ"
"waid14593acid101","Apo Necro (casp37)","Caspase 3/7 intensity",470.199988140253,"","",1
"waid14596acid101","Apo Necro (casp37)","Caspase 3/7 intensity",422.657696783015,"","",1
"waid14599acid101","Apo Necro (casp37)","Caspase 3/7 intensity",378.233700902775,"","",1
"waid14594acid101","Apo Necro (casp37)","Caspase 3/7 intensity",576.101039867485,"","",1
"waid14597acid101","Apo Necro (casp37)","Caspase 3/7 intensity",469.136092582068,"","",1
"waid14600acid101","Apo Necro (casp37)","Caspase 3/7 intensity",426.505018205685,"","",1
"waid14595acid101","Apo Necro (casp37)","Caspase 3/7 intensity",503.681392140614,"","",1
"waid14598acid101","Apo Necro (casp37)","Caspase 3/7 intensity",437.142497722129,"","",1
"waid14601acid101","Apo Necro (casp37)","Caspase 3/7 intensity",370.799798994373,"","",1
"waid14691acid101","Apo Necro (casp37)","Caspase 3/7 intensity",314.910032634123,"","",1
"waid14694acid101","Apo Necro (casp37)","Caspase 3/7 intensity",291.557694359268,"","",1
"waid14697acid101","Apo Necro (casp37)","Caspase 3/7 intensity",163.424926339023,"","",1
"waid14692acid101","Apo Necro (casp37)","Caspase 3/7 intensity",375.058431472402,"","",1
"waid14695acid101","Apo Necro (casp37)","Caspase 3/7 intensity",242.269720702108,"","",1
"waid14689acid101","Apo Necro (casp37)","Caspase 3/7 intensity",154.35162967875,"","",1
"waid14693acid101","Apo Necro (casp37)","Caspase 3/7 intensity",311.025879608871,"","",1
"waid14696acid101","Apo Necro (casp37)","Caspase 3/7 intensity",290.329903439844,"","",1
"waid14690acid101","Apo Necro (casp37)","Caspase 3/7 intensity",287.797296465476,"","",1
"waid14785acid101","Apo Necro (casp37)","Caspase 3/7 intensity",392.482888088123,"","",1
"waid14788acid101","Apo Necro (casp37)","Caspase 3/7 intensity",424.508938501816,"","",1
